height,code,sender,type,pool_id,shares,token_1_amount, token_1_denom, token_2_amount, token_2_denom
4710052,0,osmo1gvha7xfxnaruq3xe2srenr7kj40xdzhwux75ny,Join,678,2287416025819435870,12018752,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,10390946,uosmo
4710055,0,osmo19vjw6c4svl3yczkgmk76ar3tulx8zm085up940,Join,712,954862634070187873,26415,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,7156892,uosmo
4710055,0,osmo1jh0urskmdrrhfgm53d0ddnd506stu63w95d3l6,Join,2,4114508406059296057561642,10299381,uion,2081271725,uosmo
4710056,0,osmo1qhf0we0fsyzczljvyct59ajzy745afdwv3csp8,Join,662,9.84529E+15,1273913104,ibc/41999DF04D9441DAC0DF5D8291DF4333FBCBA810FFD63FDCE34FDF41EF37B6F7,10643,uosmo
4710059,0,osmo1fg4k093gpta9j55pyv2w5rc89qn5nea5a4qjhh,Join,712,1244157263485896193,34417,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,9325208,uosmo
4710061,0,osmo1e64jguv6uetfxankx4ge0jll9vqcl806u7vrka,Join,9,355572939296974313032608,311383581093,ibc/E6931F78057F7CC5DA0FD6CEF82FF39373A6E0452BF1FD76910B93292CF356C1,486419186,uosmo
4710062,0,osmo1cejrk8fngaqv6c8vxvn785869c9pu5s6qnhnxg,Join,1,5934958916637241776,82404,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,644693,uosmo
4710064,0,osmo1y29zeazclv388h692yzunqtgjwc5km55wrrn0r,Join,719,26121337518107734465,1183049,ibc/A0CC0CF735BFB30E730C70019D4218A1244FF383503FF7579C9201AB93CA9293,699466,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858
4710064,11,osmo1ptdsvqh279axjcn6sveafsrhpx400wpjypgp6u,Exit,561,12175506362738266585,3966434420,ibc/0EF15DF2F02480ADE0BB6E85D9EBB5DAEA2836D3860E9F97F9AADE4F57A31AA0,204576,uosmo
4710065,0,osmo1wfw3cdg5uvt0r5lawxr300lpthj48wx23f9y2q,Join,584,53830107205589945,474815,ibc/0954E1C28EB7AF5B72D24F3BC2B47BBB2FDF91BDDFD57B74B99E133AED40972A,537789,uosmo
4710069,0,osmo1jvtpzzhmra3raks6d6e2kzm6k8yp3jgkjw3dhh,Join,9,17949015132650869841272,15716105763,ibc/E6931F78057F7CC5DA0FD6CEF82FF39373A6E0452BF1FD76910B93292CF356C1,24551126,uosmo
4710070,0,osmo1kcffjf3y5p65qv9yt9j7pn0e7v3h43kcxhaky4,Join,1,369110614547596321418,5124998,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,40095181,uosmo
4710071,0,osmo1huaayys7a8uv9d6e7ps9avzxfm9ffe955sl7hf,Join,627,5.14932E+15,11336,ibc/9BBA9A1C257E971E38C1422780CE6F0B0686F0A3085E2D61118D904BFE0F5F5E,4885,uosmo
4710072,11,osmo1ygt5q28smu68ltywdkamwa57ps7w8vvxjxc93t,Exit,498,11585890413264103181,4978776,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,12196142,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED
4710073,0,osmo1q6vnjhcm5mj4vhdmvpmcr9ugvvzrqlc5v5qyjn,Join,1,754880498087358025,10480,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,82000,uosmo
4710074,0,osmo1q9f32exz4dff8amtt7ppl9nsnkr7myzhc2uzzv,Join,497,68720892228718287610,67086374,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,213724947,uosmo
4710075,11,osmo1ygt5q28smu68ltywdkamwa57ps7w8vvxjxc93t,Exit,498,11585890413264103181,4978776,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,12196142,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED
4710078,0,osmo1pu8n44ftfm4qyfz6lxkejw23nng7xwje0mr3af,Join,577,641032528114397,1887247,ibc/B547DC9B897E7C3AA5B824696110B8E3D2C31E3ED3F02FF363DCBAD82457E07E,133546,uosmo
4710078,0,osmo1dky9zrjwttgz677zr7jw34wvr3u6ap2tekcdm3,Join,674,71116253883169378,232504806029343980,ibc/0CD3A0285E1341859B5E86B6AB7682F023D03E97607CCC1DC95706411D866DF7,201039,uosmo
4710084,0,osmo1l4zazvpdm6uplllq9vangmkj2ttkhlmx90rhqv,Join,1,73104369663390350576,1013157,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,7955806,uosmo
4710089,0,osmo1cdujgx8hceseukzcdjcp7tjcpr8594lr3rvk9z,Join,577,4117774760503278,12123007,ibc/B547DC9B897E7C3AA5B824696110B8E3D2C31E3ED3F02FF363DCBAD82457E07E,857862,uosmo
4710092,0,osmo1wfw3cdg5uvt0r5lawxr300lpthj48wx23f9y2q,Exit,584,80718338204201806,678505,ibc/0954E1C28EB7AF5B72D24F3BC2B47BBB2FDF91BDDFD57B74B99E133AED40972A,765668,uosmo
4710092,0,osmo1l4zazvpdm6uplllq9vangmkj2ttkhlmx90rhqv,Join,497,2562030997964511417,2501019,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,7967871,uosmo
4710100,0,osmo1ywgp5ar9w6gfny8vzx8gxsgtuc3zu0kq5yacxe,Exit,1,1021840982236520710566,13470805,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,105781288,uosmo
4710101,0,osmo1p5t6df7a2hdy9p48z99we2er4ky4qkg0vlxmgm,Join,497,68421480506922502197,66791800,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,212790258,uosmo
4710101,11,osmo1ygt5q28smu68ltywdkamwa57ps7w8vvxjxc93t,Exit,498,11585890413264103181,4979675,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,12193950,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED
4710103,0,osmo1lynjdpkq8gmw7lqr6jd7udh0xm68006g8p8hk0,Join,674,308657137542789,1010616817119833,ibc/0CD3A0285E1341859B5E86B6AB7682F023D03E97607CCC1DC95706411D866DF7,870,uosmo
4710105,11,osmo1ygt5q28smu68ltywdkamwa57ps7w8vvxjxc93t,Exit,498,5792945206632051591,2489889,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,6096846,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED
4710106,0,osmo1s3deqddavqt2nfcmnx0ecxqlgzwq5p6e6gq8um,Join,604,21834967586900,4583189,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,129307,uosmo
4710106,0,osmo1ywgp5ar9w6gfny8vzx8gxsgtuc3zu0kq5yacxe,Exit,10,301385174300457831813830,41327968,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,208442628673,ibc/E6931F78057F7CC5DA0FD6CEF82FF39373A6E0452BF1FD76910B93292CF356C1
4710107,0,osmo1cdujgx8hceseukzcdjcp7tjcpr8594lr3rvk9z,Join,601,23253896945500582,1746300,ibc/EA3E1640F9B1532AB129A571203A0B9F789A7F14BB66E350DCBFA18E1A1931F0,514605,uosmo
4710109,11,osmo1ygt5q28smu68ltywdkamwa57ps7w8vvxjxc93t,Exit,498,5792945206632051591,2489889,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,6096846,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED
4710112,0,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,Exit,712,1773725092272847834,46783,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,12616462,uosmo
4710112,0,osmo1ywgp5ar9w6gfny8vzx8gxsgtuc3zu0kq5yacxe,Exit,497,2115590347428402880,1964375,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,6258481,uosmo
4710113,0,osmo1n93esxf3her0vszqzyskq5lp763qhs3ddltf8g,Join,604,15219312987178,3194553,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,90130,uosmo
4710114,0,osmo1d63mzgwjl0x3e70e5hx4qvrq0tazexpwkeupe2,Join,704,113682089704092783,894211808461620,ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,1415775,uosmo
4710115,11,osmo1ygt5q28smu68ltywdkamwa57ps7w8vvxjxc93t,Exit,498,11585890413264103181,4977691,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,12198824,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED
4710117,0,osmo15sr37ctf42xhgg00n2unctdpxprast5f6aa0cp,Join,678,3734272580703609032,19685195,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,16908304,uosmo
4710119,5,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,Join,712,1773707277759844282,49183,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,13262854,uosmo
4710121,0,osmo1meqm5tpusjywkxvd933degsh5fyqw9hdhumy8j,Join,497,68262615571413004721,66633143,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,212297266,uosmo
4710124,0,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,Join,712,1737305317429316441,48173,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,12990654,uosmo
4710125,11,osmo1ygt5q28smu68ltywdkamwa57ps7w8vvxjxc93t,Exit,498,11585890413264103181,4978783,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,12196159,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED
4710126,0,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,Exit,712,2605088723328370342,68714,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,18529236,uosmo
4710127,0,osmo1zl9t43fvpxjatedsqvusp4nedh6qqvcqj0823c,Join,580,7692052418986,1,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,411,ibc/BE1BB42D4BE3C30D50B68D7C41DB4DFCE9678E8EF8C539F6E6A9345048894FCC
4710130,0,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,Join,712,2624443772358931955,72775,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,19624180,uosmo
4710131,11,osmo1ygt5q28smu68ltywdkamwa57ps7w8vvxjxc93t,Exit,498,8689417809948077386,3734079,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,9147141,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED
4710132,0,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,Exit,712,3935357905436142971,103802,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,27990991,uosmo
4710137,0,osmo1ga20pr08r94l4624aumgk5749e9qulxct8sguh,Join,604,15512131176113,3255972,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,91865,uosmo
4710138,11,osmo1ygt5q28smu68ltywdkamwa57ps7w8vvxjxc93t,Exit,498,11585890413264103181,4978818,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,12196075,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED
4710138,5,osmo1j8rp9ke4z0hy8rtuk2e7t6pzgxq3d3ykveumpk,Join,722,4594615923710222319,516540161403556182,ibc/6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A,898929,uosmo
4710139,0,osmo1f9z2cruax0n5dy0typt3sy7aj6cm0tcsqfdkp8,Exit,561,225854401991710755425,75113873401,ibc/0EF15DF2F02480ADE0BB6E85D9EBB5DAEA2836D3860E9F97F9AADE4F57A31AA0,3717454,uosmo
4710139,0,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,Join,712,3918192285797789681,108650,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,29298072,uosmo
4710141,0,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,Exit,712,5875326103514394184,154972,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,41789251,uosmo
4710141,5,osmo1j8rp9ke4z0hy8rtuk2e7t6pzgxq3d3ykveumpk,Join,722,4594615923710222319,516785713515539594,ibc/6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A,898503,uosmo
4710142,0,osmo193tkk6a9nx7ejn2aazmzcjkly68gjfplxlpyjk,Join,678,180862295574391082,953520,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,818829,uosmo
4710143,0,osmo1f9z2cruax0n5dy0typt3sy7aj6cm0tcsqfdkp8,Exit,561,112927200995855377713,37660990567,ibc/0EF15DF2F02480ADE0BB6E85D9EBB5DAEA2836D3860E9F97F9AADE4F57A31AA0,1853606,uosmo
4710143,0,osmo1ga20pr08r94l4624aumgk5749e9qulxct8sguh,Join,605,48119281224423462117,272344773,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228,11116,uosmo
4710144,0,osmo1mzp9lhpjl8ndppzmuzh7c5zdjha597yekaeky7,Join,604,117180461977269,24595998,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,693962,uosmo
4710145,0,osmo1j8rp9ke4z0hy8rtuk2e7t6pzgxq3d3ykveumpk,Join,722,4100861419705833248,460933118143493897,ibc/6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A,802499,uosmo
4710145,0,osmo14508pu9y377m37ama9qtmjq3nc44mej2lu7x4w,Join,497,68141515855733092236,66535809,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,211844257,uosmo
4710145,0,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,Join,712,5876628986718213741,162975,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,43936968,uosmo
4710146,0,osmo1ygt5q28smu68ltywdkamwa57ps7w8vvxjxc93t,Exit,498,11585890413264103181,4977753,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,12198701,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED
4710147,0,osmo1f9z2cruax0n5dy0typt3sy7aj6cm0tcsqfdkp8,Exit,561,56463600497927688856,18869747744,ibc/0EF15DF2F02480ADE0BB6E85D9EBB5DAEA2836D3860E9F97F9AADE4F57A31AA0,924884,uosmo
4710147,0,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,Exit,712,8812008546044319689,232458,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,62669370,uosmo
4710149,0,osmo1lytkaq224pneqhqj5em70tkldrz76st8grxa5j,Exit,1,5207529923512498480376,68647738,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,539104917,uosmo
4710149,0,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,Join,712,8833466990228300086,244975,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,66043618,uosmo
4710150,0,osmo14q809c4fhnvqktpeef4nz8lk7hgsqxwj2u5x0k,Exit,690,1888957462562237668,2848819,ibc/CBA34207E969623D95D057D9B11B0C8B32B89A71F170577D982FDDE623813FFC,242861,uosmo
4710151,0,osmo1ga20pr08r94l4624aumgk5749e9qulxct8sguh,Join,601,478737074463855,35950,ibc/EA3E1640F9B1532AB129A571203A0B9F789A7F14BB66E350DCBFA18E1A1931F0,10594,uosmo
4710151,0,osmo1f9z2cruax0n5dy0typt3sy7aj6cm0tcsqfdkp8,Exit,561,56463600497927688856,18918113555,ibc/0EF15DF2F02480ADE0BB6E85D9EBB5DAEA2836D3860E9F97F9AADE4F57A31AA0,922527,uosmo
4710151,0,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,Exit,712,13245777547667859555,349417,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,94200815,uosmo
4710153,0,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,Join,712,13231818474332849128,366950,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,98927262,uosmo
4710154,0,osmo1lytkaq224pneqhqj5em70tkldrz76st8grxa5j,Exit,2,3758679862008441723828,8909,uion,1787339,uosmo
4710155,0,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,Exit,712,19841092817035199556,523393,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,141103560,uosmo
4710157,0,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,Join,712,19847948007311408992,550423,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,148390893,uosmo
4710159,0,osmo1ga20pr08r94l4624aumgk5749e9qulxct8sguh,Join,573,393386725106208,844296,ibc/4E5444C35610CC76FC94E7F7886B93121175C28262DDFDDE6F84E82BF2425452,12221,uosmo
4710159,0,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,Exit,712,29761915476372666454,785084,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,211653782,uosmo
4710159,0,osmo1lytkaq224pneqhqj5em70tkldrz76st8grxa5j,Exit,561,16709521436466380264,5618498886,ibc/0EF15DF2F02480ADE0BB6E85D9EBB5DAEA2836D3860E9F97F9AADE4F57A31AA0,272041,uosmo
4710159,0,osmo1pu8n44ftfm4qyfz6lxkejw23nng7xwje0mr3af,Join,641,4450811941581667388,2733576,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,71543,uosmo
4710161,0,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,Join,712,29753936979249165249,825123,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,222448332,uosmo
4710163,0,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,Exit,712,44615839282045143611,1176884,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,317280727,uosmo
4710164,0,osmo1mm5h8laet8ka59czggchqjcylngdhd5ya5jvcm,Join,678,168133417354335217,886529,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,761100,uosmo
4710166,0,osmo1lytkaq224pneqhqj5em70tkldrz76st8grxa5j,Exit,584,2423921296175633880,20373639,ibc/0954E1C28EB7AF5B72D24F3BC2B47BBB2FDF91BDDFD57B74B99E133AED40972A,22994232,uosmo
4710167,0,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,Join,712,44613569885282455742,1237173,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,333534568,uosmo
4710167,0,osmo1ga20pr08r94l4624aumgk5749e9qulxct8sguh,Join,619,141804966061565102,2551118,ibc/EA4C0A9F72E2CEDF10D0E7A9A6A22954DB3444910DB5BE980DF59B05A46DAD1C,46945,uosmo
4710169,0,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,Exit,712,66897630827248361000,1764571,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,475717483,uosmo
4710170,0,osmo1lytkaq224pneqhqj5em70tkldrz76st8grxa5j,Exit,604,812140373521285,162149682,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,4575076,uosmo
4710171,0,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,Join,712,66901873647358115072,1855180,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,500144970,uosmo
